,ppid,radius,direction,startingpos,trialn,timestamp,trialtype_signed,World_x,World_z,WorldYaw,SWV,SWA,YawRate_seconds,TurnAngle_frames,Distance_frames,dt,BendVisible,setpoint
2,pilot_8_6_fixed,-1,R,4,0,13.4001825,0,0,0,0,0,0,0,0,0,0.046368521,FALSE,0
3,pilot_8_6_fixed,-1,R,4,0,13.4432119,0,0,0,0,0,0,0,0,0,0.043057475,FALSE,0
4,pilot_8_6_fixed,-1,R,4,0,13.44468194,0,0,0,0,0,0,0,0,0,0.001494181,FALSE,0
5,pilot_8_6_fixed,-1,R,4,0,13.55112983,0,0,0,0,0,0,0,0,0,0.106402612,FALSE,0
6,pilot_8_6_fixed,-1,R,4,0,13.55260258,0,0,0,0,0,0,0,0,0,0.001518933,FALSE,0
7,pilot_8_6_fixed,-1,R,4,0,13.5536313,0,0,0,0,0,0,0,0,0,0.001029627,FALSE,0
8,pilot_8_6_fixed,-1,R,4,0,13.56750515,0,0,0,0,0,0,0,0,0,0.013870228,FALSE,0
9,pilot_8_6_fixed,-1,R,4,0,13.58489712,0,0,0,0,0,0,0,0,0,0.01739227,FALSE,0
10,pilot_8_6_fixed,-1,R,4,0,13.60313669,0,0,0,0,0,0,0,0,0,0.018237766,FALSE,0
11,pilot_8_6_fixed,-1,R,4,0,13.61866652,0,0,0,0,0,0,0,0,0,0.015522883,FALSE,0
12,pilot_8_6_fixed,-1,R,4,0,13.63575241,0,0,0,0,0,0,0,0,0,0.017094038,FALSE,0
13,pilot_8_6_fixed,-1,R,4,0,13.65177305,0,0,0,0,0,0,0,0,0,0.016022453,FALSE,0
14,pilot_8_6_fixed,-1,R,4,0,13.67100935,0,0,0,0,0,0,0,0,0,0.019237509,FALSE,0
15,pilot_8_6_fixed,-1,R,4,0,13.68503413,0,0,0,0,0,0,0,0,0,0.014021458,FALSE,0
16,pilot_8_6_fixed,-1,R,4,0,13.70151359,0,0,0,0,0,0,0,0,0,0.016480669,FALSE,0
17,pilot_8_6_fixed,-1,R,4,0,13.71814941,0,0,0,0,0,0,0,0,0,0.016636124,FALSE,0
18,pilot_8_6_fixed,-1,R,4,0,13.73485315,0,0,0,0,0,0,0,0,0,0.016704947,FALSE,0
19,pilot_8_6_fixed,-1,R,4,0,13.75154391,0,0,0,0,0,0,0,0,0,0.016689854,FALSE,0
20,pilot_8_6_fixed,-1,R,4,0,13.76824705,0,0,0,0,0,0,0,0,0,0.016703438,FALSE,0
21,pilot_8_6_fixed,-1,R,4,0,13.78490068,0,0,0,0,0,0,0,0,0,0.016654235,FALSE,0
22,pilot_8_6_fixed,-1,R,4,0,13.80154797,0,0,0,0,0,0,0,0,0,0.016646689,FALSE,0
23,pilot_8_6_fixed,-1,R,4,0,13.81820673,0,0,0,0,0,0,0,0,0,0.016659065,FALSE,0
24,pilot_8_6_fixed,-1,R,4,0,13.83483501,0,0,0,0,0,0,0,0,0,0.016627974,FALSE,0
25,pilot_8_6_fixed,-1,R,4,0,13.85163263,0,0,0,0,0,0,0,0,0,0.016797918,FALSE,0
26,pilot_8_6_fixed,-1,R,4,0,13.86827539,0,0,0,0,0,0,0,0,0,0.016643067,FALSE,0
27,pilot_8_6_fixed,-1,R,4,0,13.8848442,0,0,0,0,0,0,0,0,0,0.01656881,FALSE,0
28,pilot_8_6_fixed,-1,R,4,0,13.9015253,0,0,0,0,0,0,0,0,0,0.016680497,FALSE,0
29,pilot_8_6_fixed,-1,R,4,0,13.91826557,0,0,0,0,0,0,0,0,0,0.016740868,FALSE,0
30,pilot_8_6_fixed,-1,R,4,0,13.93498108,0,0,0,0,0,0,0,0,0,0.016714606,FALSE,0
31,pilot_8_6_fixed,-1,R,4,0,13.95156619,0,0,0,0,0,0,0,0,0,0.016586318,FALSE,0
32,pilot_8_6_fixed,-1,R,4,0,13.96826419,0,0,0,0,0,0,0,0,0,0.016697702,FALSE,0
