,ppid,radius,direction,startingpos,trialn,timestamp,trialtype_signed,World_x,World_z,WorldYaw,SWV,SWA,YawRate_seconds,TurnAngle_frames,Distance_frames,dt,BendVisible,setpoint
2,11_1,1500,R,4,0,8.917695558,0,0,0,0,0,0,0,0,0,0.047503812,FALSE,0
3,11_1,1500,R,4,0,8.948714876,0,0,0,0,0,0,0,0,0,0.031017809,FALSE,0
4,11_1,1500,R,4,0,8.950566744,0,0,0,0,0,0,0,0,0,0.001895033,FALSE,0
5,11_1,1500,R,4,0,9.070158482,0,0,0,0,0,0,0,0,0,0.119573023,FALSE,0
6,11_1,1500,R,4,0,9.071740192,0,0,0,0,0,0,0,0,0,0.001603443,FALSE,0
7,11_1,1500,R,4,0,9.072829881,0,0,0,0,0,0,0,0,0,0.001092708,FALSE,0
8,11_1,1500,R,4,0,9.086511065,0,0,0,0,0,0,0,0,0,0.013675449,FALSE,0
9,11_1,1500,R,4,0,9.104148335,0,0,0,0,0,0,0,0,0,0.017640892,FALSE,0
10,11_1,1500,R,4,0,9.12219854,0,0,0,0,0,0,0,0,0,0.018050507,FALSE,0
11,11_1,1500,R,4,0,9.137698087,0,0,0,0,0,0,0,0,0,0.015499849,FALSE,0
12,11_1,1500,R,4,0,9.154607288,0,0,0,0,0,0,0,0,0,0.016908899,FALSE,0
13,11_1,1500,R,4,0,9.170736802,0,0,0,0,0,0,0,0,0,0.016128609,FALSE,0
14,11_1,1500,R,4,0,9.190973328,0,0,0,0,0,0,0,0,0,0.020238941,FALSE,0
15,11_1,1500,R,4,0,9.204068918,0,0,0,0,0,0,0,0,0,0.013097099,FALSE,0
16,11_1,1500,R,4,0,9.220565787,0,0,0,0,0,0,0,0,0,0.016497775,FALSE,0
17,11_1,1500,R,4,0,9.237217809,0,0,0,0,0,0,0,0,0,0.016652625,FALSE,0
18,11_1,1500,R,4,0,9.254012305,0,0,0,0,0,0,0,0,0,0.016795402,FALSE,0
19,11_1,1500,R,4,0,9.270565017,0,0,0,0,0,0,0,0,0,0.016552712,FALSE,0
20,11_1,1500,R,4,0,9.287170554,0,0,0,0,0,0,0,0,0,0.016605838,FALSE,0
21,11_1,1500,R,4,0,9.303924602,0,0,0,0,0,0,0,0,0,0.016754652,FALSE,0
22,11_1,1500,R,4,0,9.32050267,0,0,0,0,0,0,0,0,0,0.016578068,FALSE,0
23,11_1,1500,R,4,0,9.337159823,0,0,0,0,0,0,0,0,0,0.01665655,FALSE,0
24,11_1,1500,R,4,0,9.354010464,0,0,0,0,0,0,0,0,0,0.016717826,FALSE,0
25,11_1,1500,R,4,0,9.37057193,0,0,0,0,0,0,0,0,0,0.016694885,FALSE,0
