"","ppid_trialn","pNum","radius","startingpos","rt","steering_rate","SWA","DiffYawRate_seconds","rotatedX","rotatedZ","frame","X","steeringbias","peak.sr","peak.swa","radius_scaled","startingpos_scaled"
"1","0_1_1000_0",1,1000,0,0.516666666666667,0.0442657263519813,-0.089999847,0.0172144491585081,-1.35599934881492e-05,3.99922473234145,31,1,0.00714204072369017,0.396713272804196,5.670000091,-1.22971533220284,-1.23182774516642
"2","0_1_1500_0",1,1500,0,0.45,0.604195790685315,0,0.234965029678322,0,3.466045439,27,2,0.00311058385354211,0.760069934426573,8.549999893,0.0012127370140067,-1.23182774516642
"3","0_1_2000_0",1,2000,0,0.55,0.02496503902331,0,0.00970862629603729,-1.53362505377411e-09,4.2659357025723,33,3,0.00529650764070459,0.436573444193473,3.870000131,1.23214080623085,-1.23182774516642
"4","0_1_2000_8",1,2000,8,0.1,0.022237765032634,0.090000004,0.0086480198041958,-1.72535565251684e-08,8.66828101955354,6,4,0.0147675826432663,0.29349649337296,4.050000004,1.23214080623085,1.21256162207486
"5","0_10_2000_0",10,2000,0,1.88333333333333,0.079300698230769,0,0.0308391604195803,0,14.938405459,113,5,0.0446043647539471,0.793426581512821,4.680000097,1.23214080623085,-1.23182774516642
"6","0_10_2000_4",10,2000,4,0.633333333333333,0.0211888146993007,0,0.00824009455011655,-2.57660958541406e-10,8.93284988634262,38,6,0.0160570445408696,0.327482518442891,4.950000141,1.23214080623085,-0.00963306154577855
"7","0_10_2000_8",10,2000,8,0.566666666666667,0.332307690545455,0,0.129230768559441,0,12.400242626,34,7,0.0308573359098074,0.810629356398602,10.4399997,1.23214080623085,1.21256162207486
"8","0_11_1500_4",11,1500,4,0.783333333333333,0.113286710769231,0,0.0440559430489511,0,10.132407904,47,8,0.0303045906250066,0.861188812459208,8.730000257,0.0012127370140067,-0.00963306154577855
"9","0_11_1500_8",11,1500,8,0.95,0.0981818201958043,0,0.038181818937063,0,15.464276254,57,9,0.0740129178738012,0.63776223911655,4.229999855,0.0012127370140067,1.21256162207486
"10","0_11_2000_0",11,2000,0,1.18333333333333,0.188811191664336,0,0.0734265745174826,0,9.333330154,71,10,0.0174268092482628,0.636713297025641,4.050000161,1.23214080623085,-1.23182774516642
"11","0_11_2000_4",11,2000,4,1.05,0.183146858538461,0,0.0712237783216781,0,12.270781815,63,11,0.0300650745291583,1.81216783617016,11.52000055,1.23214080623085,-0.00963306154577855
"12","0_12_1000_8",12,1000,8,0.916666666666667,0.207692317867133,0,0.0807692347808857,0,15.198370695,55,12,0.110934895761929,1.84510477363403,18.44999984,-1.22971533220284,1.21256162207486
"13","0_12_1500_8",12,1500,8,0.616666666666667,0.0891608367855477,0,0.0346736586899767,3.38042594003746e-09,12.7998416196027,37,13,0.0494982878329576,0.752307656135198,7.379999785,0.0012127370140067,1.21256162207486
"14","0_12_2000_4",12,2000,4,0.0333333333333333,0.0264335672517565,0,0.0102797205944088,0,4.132804811,2,14,0.00496597536405017,0.650559446149184,3.959999979,1.23214080623085,-0.00963306154577855
"15","0_12_2000_8",12,2000,8,0.516666666666667,0.0335664509230769,0,0.0130536198018648,-5.47073925223629e-10,11.9993286182246,31,15,0.0289866266701031,0.296013986121212,2.880000053,1.23214080623085,1.21256162207486
"16","0_2_1000_4",2,1000,4,0.55,0.105104895083916,0,0.0408741258857809,0,8.266189992,33,16,0.0319085522434372,0.311538472715618,3.330000043,-1.22971533220284,-0.00963306154577855
"17","0_2_1000_8",2,1000,8,1.38333333333333,0.128391615356643,0,0.0499300726153847,0,18.939748164,83,17,0.171921494831799,0.375524486398601,4.409999885,-1.22971533220284,1.21256162207486
"18","0_2_1500_4",2,1500,4,0.65,0.143496498881119,0,0.0558041940419581,0,9.065111578,39,18,0.0239948462703245,0.261398604254079,3.060000166,0.0012127370140067,-0.00963306154577855
"19","0_2_1500_8",2,1500,8,0.616666666666667,0.0509790223006992,0,0.0198251753496503,0,12.798310042,37,19,0.0494993645308586,0.515244766643357,2.969999984,0.0012127370140067,1.21256162207486
"20","0_3_1000_4",3,1000,4,0.616666666666667,0.0604195832727273,0,0.0234965045874126,0,8.799199521,37,20,0.0362496731610647,0.515454543482518,6.120000333,-1.22971533220284,-0.00963306154577855
"21","0_3_1000_8",3,1000,8,0.516666666666667,0.0247552316107226,-0.989999827,0.00962703457109555,-0.00183760016212989,11.9992734197295,31,21,0.0666563296704727,0.591818137729604,9.719999582,-1.22971533220284,1.21256162207486
"22","0_3_1500_4",3,1500,4,0.0166666666666667,0.0478321159510367,0.360000059,0.0186013783146805,0,4,1,22,0.00422078444527739,0.511258768475524,5.670000091,0.0012127370140067,-0.00963306154577855
"23","0_3_2000_4",3,2000,4,0.55,0.0306293670979021,0,0.0119114205477855,-1.70816931779894e-10,8.26755862892165,33,23,0.0135699803793951,0.74286712920979,6.750000268,1.23214080623085,-0.00963306154577855
"24","0_4_1000_0",4,1000,0,1.08333333333333,0.241678333174825,0,0.0939860184335665,0,8.542215168,65,24,0.0354126745082221,1.70160839082751,18.89999941,-1.22971533220284,-1.23182774516642
"25","0_4_1000_4",4,1000,4,1.08333333333333,0.0755244738461539,0,0.0293706286993007,0,12.533374548,65,25,0.0748881660916248,1.11440560440093,10.26000001,-1.22971533220284,-0.00963306154577855
"26","0_4_1000_8",4,1000,8,0.783333333333333,0.226573421538462,0,0.0881118861818183,0,14.133358479,47,26,0.0957182032841616,1.68503489466201,36.63000047,-1.22971533220284,1.21256162207486
"27","0_4_1500_8",4,1500,8,1.2,0.0220279748135198,0,0.00856643471794871,0,17.472205762,72,27,0.096077050910082,1.88391603585082,16.83000058,0.0012127370140067,1.21256162207486
"28","0_4_2000_0",4,2000,0,1.65,0.0218181845687646,0,0.00848484962237762,0,13.072770777,99,28,0.0342488480320521,1.10328670310256,9.360000193,1.23214080623085,-1.23182774516642
"29","0_4_2000_8",4,2000,8,0.633333333333333,0.256783230713287,0,0.0998601453146854,0,12.933354676,38,29,0.0335751699026141,1.19139860208392,19.79999989,1.23214080623085,1.21256162207486
"30","0_5_1000_4",5,1000,4,1.16666666666667,0.0272727327156177,0,0.0106060627925408,0,13.199026763,70,30,0.0832574365159456,1.13874120536131,16.65000021,-1.22971533220284,-0.00963306154577855
"31","0_5_1500_8",5,1500,8,1.81666666666667,0.147272744433566,0,0.0572727339230767,0,22.403296118,109,31,0.160746822791895,1.8897902919697,27.80999869,0.0012127370140067,1.21256162207486
"32","0_5_2000_0",5,2000,0,2.25,0.176433561011655,0,0.0686130514685314,0,17.872677688,135,32,0.0642548046449476,0.779160846100233,12.24000067,1.23214080623085,-1.23182774516642
"33","0_6_1000_8",6,1000,8,0.366666666666667,0.152937063377622,0,0.0594755246433565,0,10.79889214,22,33,0.0551739233240208,1.51237762673427,8.819999769,-1.22971533220284,1.21256162207486
"34","0_6_1500_4",6,1500,4,0.816666666666667,0.0344055961212121,0.090000182,0.01337995397669,4.08856350377768e-06,10.4000631337772,49,34,0.0320095486591043,0.22468531662704,2.880000137,0.0012127370140067,-0.00963306154577855
"35","0_6_1500_8",6,1500,8,0.75,0.041118887006993,0,0.0159906783123543,4.90468405950004e-09,13.8666142417785,45,35,0.058642306747522,0.267272710568765,2.700000191,0.0012127370140067,1.21256162207486
"36","0_6_2000_4",6,2000,4,0.916666666666667,0.020559443986014,0.090000015,0.00799533934498834,-4.4140944831586e-09,11.2070604118887,55,36,0.0252540878508829,0.290979020550117,2.700000107,1.23214080623085,-0.00963306154577855
"37","0_6_2000_8",6,2000,8,0.916666666666667,0.256783230713287,0,0.0998601453146854,0,15.199320316,55,37,0.046307251292625,0.394615411351982,7.199999839,1.23214080623085,1.21256162207486
"38","0_7_1000_4",7,1000,4,0.466666666666667,0.0218181845687646,0,0.00848484962237762,0,7.599344731,28,38,0.0268867524825874,0.232237763878788,3.59999992,-1.22971533220284,-0.00963306154577855
"39","0_7_1500_4",7,1500,4,0.516666666666667,0.0566433553846152,0,0.0220279715454545,0,7.998936653,31,39,0.018391256200833,0.554475496965035,3.870000131,0.0012127370140067,-0.00963306154577855
"40","0_7_1500_8",7,1500,8,0.6,0.0226573415641025,-0.180000009,0.00881118840792539,0,12.671903193,36,40,0.0486418408652418,0.595174843741259,5.399999879,0.0012127370140067,1.21256162207486
"41","0_7_2000_0",7,2000,0,0.7,0.028111892988345,0,0.0109324028414918,1.93218250101913e-09,5.4695136948502,42,41,0.00560001670970136,0.15797202860373,1.349999928,1.23214080623085,-1.23182774516642
"42","0_7_2000_4",7,2000,4,0.25,0.0287412755780886,0,0.0111771626876457,-1.34728592258299e-09,5.86514684792805,15,42,0.00804111926631662,0.191538434736597,2.160000019,1.23214080623085,-0.00963306154577855
"43","0_7_2000_8",7,2000,8,0.516666666666667,0.0566433729650348,0,0.0220279784265733,0,11.999544978,31,43,0.0289591773553762,0.657482525202797,5.939999968,1.23214080623085,1.21256162207486
"44","0_8_1000_0",8,1000,0,0.316666666666667,0.702377638993008,0,0.273146859608392,0,2.396311581,19,44,0.00387801627577819,1.98209797392541,12.60000005,-1.22971533220284,-1.23182774516642
"45","0_8_1500_4",8,1500,4,0.233333333333333,0.0281117997132867,0,0.0109323665291375,-3.14927368905149e-10,5.73335425725115,14,45,0.00905289988159041,0.235594446913753,2.519999743,0.0012127370140067,-0.00963306154577855
"46","0_8_2000_0",8,2000,0,0.916666666666667,0.173706294041958,0,0.0675524477202798,0,7.204316139,55,46,0.0100051177936041,0.267692315606061,8.100000322,1.23214080623085,-1.23182774516642
"47","0_9_1000_8",9,1000,8,0.566666666666667,0.0323076819137529,0,0.0125640985337995,-4.52205217715829e-10,12.3986365069784,34,47,0.0732570789261068,0.30356639702331,4.949999973,-1.22971533220284,1.21256162207486
"48","0_9_1500_4",9,1500,4,0.233333333333333,0.0923076902564102,0,0.0358974350769231,0,5.733182311,14,48,0.00904101392809481,0.186713282564103,1.979999989,0.0012127370140067,-0.00963306154577855
"49","0_9_1500_8",9,1500,8,0.2,0.0308391621398601,0,0.0119930074335664,0,9.466369807,12,49,0.0262666173149029,0.259930065356643,3.060000166,0.0012127370140067,1.21256162207486
"50","0_9_2000_0",9,2000,0,0.2,0.037762236923077,0,0.0146853143496504,0,1.465201139,12,50,0.000544901233655196,0.248811190337995,2.69999994,1.23214080623085,-1.23182774516642
"51","0_9_2000_4",9,2000,4,1,0.0230769284592074,0,0.00897436101631701,2.94476927044374e-09,11.8704811299014,60,51,0.0280984626146801,0.187972024391608,1.620000266,1.23214080623085,-0.00963306154577855
"52","0_9_2000_8",9,2000,8,0.6,0.0323076913752914,-0.180000009,0.0125641022447552,-2.71e-06,12.666861832,36,52,0.0322013939710514,0.172447547578089,1.34999997,1.23214080623085,1.21256162207486
"53","1_1_1000_4",1,1000,4,0.466666666666667,0.0341958067389277,0,0.0132983693053613,1.03011276092468e-07,7.59951217928762,28,53,0.0268886973353106,0.186293699666667,4.770000101,-1.22971533220284,-0.00963306154577855
"54","1_1_1000_8",1,1000,8,0.466666666666667,0.0323077116666666,0,0.0125641100745921,-1.00042807454903e-07,11.6000390241868,28,54,0.0638956544354514,0.736363603109557,8.63999974,-1.22971533220284,1.21256162207486
"55","1_1_1500_4",1,1500,4,0.516666666666667,0.0480419483286713,0,0.018682979969697,-1.19495405154213e-07,7.99904608039599,31,55,0.0183892383057344,0.322027937804196,2.970000152,0.0012127370140067,-0.00963306154577855
"56","1_1_1500_8",1,1500,8,0.566666666666667,0.0281118903030303,0,0.0109324018251748,0,12.40029907,34,56,0.0462998933510639,0.290559441440559,3.330000043,0.0012127370140067,1.21256162207486
"57","1_1_2000_4",1,2000,4,0.633333333333333,0.0228671507575757,-0.989999995,0.00889278083216781,-0.00652748511841214,8.93246092562566,38,57,0.00997611957010879,0.348671322230769,4.140000008,1.23214080623085,-0.00963306154577855
"58","1_10_1000_4",10,1000,4,0.516666666666667,0.0373426071538461,-0.359999724,0.0145221251748252,-0.000941026201500118,8.00016806283388,31,58,0.0289239909026815,0.225524440314685,4.950000308,-1.22971533220284,-0.00963306154577855
"59","1_10_1500_0",10,1500,0,1.86666666666667,0.0247551495897436,0.090000182,0.00962700257575756,0.00461915697313681,14.7997845988216,112,59,0.0719810663531281,0.504755256937063,9.629999734,0.0012127370140067,-1.23182774516642
"60","1_10_2000_0",10,2000,0,0.433333333333333,0.0224475249230769,0,0.00872959292307691,5.59786592357892e-08,3.33353730211154,26,60,0.0023599007068794,0.239580450277389,3.330000043,1.23214080623085,-1.23182774516642
"61","1_10_2000_8",10,2000,8,0.566666666666667,0.0281119122400932,0,0.0109324103053613,-1.72257747205196e-07,12.3975475820206,34,61,0.0312326029228465,0.157972032407925,3.330000043,1.23214080623085,1.21256162207486
"62","1_11_1000_8",11,1000,8,0.583333333333333,0.179370641244755,0,0.0697552493496501,0,12.53104782,35,62,0.0748872126747574,2.15999996221445,14.39999968,-1.22971533220284,1.21256162207486
"63","1_11_1500_8",11,1500,8,0.633333333333333,0.143496498881119,0,0.0558041940419581,0,12.9311676,38,63,0.0506083421948756,0.884475518729604,5.21999985,0.0012127370140067,1.21256162207486
"64","1_11_2000_8",11,2000,8,0.316666666666667,0.0371328501771561,0,0.0144405527762238,-2.68530784414134e-08,10.398811390884,19,64,0.0219124686133851,0.883007001498834,4.049999983,1.23214080623085,1.21256162207486
"65","1_12_1000_0",12,1000,0,0.0333333333333333,0.0201398634965047,0,0.00783216917482564,3.64347950889549e-08,0.132141778466623,2,65,0.00159159205748138,0.5754545202331,4.23000019,-1.22971533220284,-1.23182774516642
"66","1_12_1000_4",12,1000,4,0.0166666666666667,0.0975524376573293,0.360000017,0.0379370589790158,0,4,1,66,0.00719628281603991,0.286573408128206,2.339999923,-1.22971533220284,-0.00963306154577855
"67","1_12_1000_8",12,1000,8,0.466666666666667,0.0547552334009323,0,0.0212937018904428,9.15540053492148e-09,11.5993016798208,28,67,0.0638873767276594,0.877132904104895,8.459999752,-1.22971533220284,1.21256162207486
"68","1_12_1500_8",12,1500,8,0.5,0.0960839212027971,0,0.0373659693426573,-3.4147390224476e-08,11.8665139168086,30,68,0.0421989673971407,0.927482593722611,9.18000008,0.0012127370140067,1.21256162207486
"69","1_2_1000_0",2,1000,0,0.516666666666667,0.0228671349533799,0,0.00889277476456876,4.08396495787944e-07,3.99871749160372,31,69,0.00717474714301705,0.207482518335664,2.970000068,-1.22971533220284,-1.23182774516642
"70","1_2_1500_0",2,1500,0,0.55,0.0325174829114219,-0.539999994,0.0126456878461538,-0.00383158876648509,4.26644967837743,33,70,0.00100802332514335,0.202027964386946,3.14999993,0.0012127370140067,-1.23182774516642
"71","1_2_1500_4",2,1500,4,0.866666666666667,0.0375524437226107,0.089999973,0.0146037280862471,5.2453088256188e-07,10.7998497848557,52,71,0.0346366121199658,0.167832163428904,2.789999996,0.0012127370140067,-0.00963306154577855
"72","1_2_2000_0",2,2000,0,0.75,0.0308391621398601,0,0.0119930074335664,0,5.86577988,45,72,0.00768207433871977,0.0855944018344989,0.89999998,1.23214080623085,-1.23182774516642
"73","1_2_2000_4",2,2000,4,0.566666666666667,0.020559443986014,0.090000015,0.00799533934498834,-6.16540071773919e-09,8.4005593792726,34,73,0.0140540660564678,0.141188813254079,1.890000058,1.23214080623085,-0.00963306154577855
"74","1_2_2000_8",2,2000,8,0.35,0.0287412617482517,0.090000015,0.0111771573193473,1.46213220596908e-06,10.668020042658,21,74,0.0234585339504742,0.310069935048951,3.150000013,1.23214080623085,1.21256162207486
"75","1_3_1000_0",3,1000,0,1.95,0.0297901944848485,-0.179999862,0.0115850755944056,-0.0167218263839077,15.4649704874356,117,75,0.0981783597787922,0.469510462249417,6.300000027,-1.22971533220284,-1.23182774516642
